,LVR,REF,INSUR,RATE,AMOUNT,CREDIT,TERM,ARM,DELINQUENT
296,69.8,1,1,7.4,1.78,558,30,1,0
441,95,0,0,9.625,2.96065,508,30,1,0
700,85,1,1,7.7,0.9775,549,30,1,0
727,80,0,0,7.7,1.48,602,30,1,1
762,43.4,1,1,6.45,1.15,533,30,1,0
573,75,1,1,7.5,2.7375,511,30,1,1
705,20,0,1,10.4,0.36,660,30,0,0
584,76.2,1,1,7.9,1.296,529,30,1,0
795,85,1,0,6.45,2.38,636,30,0,1
396,63.8,1,0,7.7,1.5,582,30,1,1
399,85,1,0,8.5,2.04,614,30,1,0
425,80,1,0,8.65,1.008,588,30,1,0
287,79.3,1,0,8.225,3.25,610,30,1,0
229,80,1,1,6.8,2.56,654,30,1,0
914,20,0,1,12.5,0.656,728,20,0,0
64,75,1,1,6.9,1.4625,619,30,1,0
949,80,0,1,6.1,2.04,653,30,1,0
493,95,0,1,6.99,1.18275,658,30,0,0
753,20,0,0,9.99,0.42,633,30,0,0
205,90,1,1,6.9,1.44,691,20,0,0
758,80,0,0,5.85,2.2,703,30,1,1
201,84.8,1,1,7.05,1.145,635,30,0,0
251,80,0,1,6.75,1.8,635,30,1,0
577,20,0,1,10.85,0.56,712,30,0,0
643,80,0,1,7.6,1.56,634,30,1,0
227,80,0,1,6.7,1.248,613,30,1,0
23,80,1,1,6.405,1.776,669,30,1,0
703,67.3,1,1,8.05,2.087,634,30,1,0
526,78,1,1,6.6,1.17,614,30,1,0
382,53.1,1,0,8.125,2,590,15,0,0
906,95,1,1,6.99,1.824,645,30,1,0
274,80,0,1,7.175,1.52,624,30,1,0
140,64.4,1,0,6.4,1.9,616,15,0,0
826,20,0,1,10.5,0.50508,587,20,0,0
697,90,1,1,6.55,1.8,688,30,1,0
504,74.4,1,1,7.5,1.77,604,30,1,0
543,90,0,1,6.15,2.601,704,30,1,0
789,63.3,1,0,7.5,1.702,637,30,1,0
800,85,1,0,7.05,2.312,634,30,1,0
192,71.2,1,1,5.5,0.925,678,30,0,0
452,85,1,1,7.035,1.5895,618,30,1,1
579,62.8,1,0,7.6,1.6,696,30,0,0
909,77.8,1,1,7.65,1.37,555,30,1,0
574,20,0,1,10.65,0.4368,654,20,0,0
459,89.7,1,1,9.025,2.6,575,30,0,0
10,80,0,1,5.867,2.064,699,30,1,0
379,75,1,1,8.125,2.3625,583,30,1,0
552,89,1,1,6.5,4.005,626,30,1,0
336,89.2,1,1,6.75,2.025,620,30,1,0
824,85,1,1,7.875,1.598,702,30,0,0
857,90,1,1,7.99,0.981,600,30,1,0
29,80,0,1,6.605,1.488,603,30,1,0
786,95,0,0,9,2.47,532,30,1,1
299,90,0,1,7.875,1.75657,571,30,1,0
371,80,0,0,7.725,2.64,662,30,1,1
100,80,1,1,7.925,1.968,588,30,1,0
394,80,1,0,8.5,1.96,575,30,1,1
48,53.8,1,1,6.99,5,559,30,1,0
788,95,1,0,7.125,3.23,675,30,0,0
482,80,0,1,7.5,1.064,701,30,0,1
319,83.9,1,1,6.95,1.376,685,30,0,0
308,75,1,1,8.875,1.3425,511,30,1,0
391,80,1,1,8.95,2.88,602,30,1,0
973,80,0,1,6.99,1.712,593,30,1,0
685,90,0,1,6.4,2.07,624,30,1,0
26,74.1,1,1,8.33,1.66,521,30,1,0
473,80,0,1,7.75,1.592,631,30,0,0
609,90,0,1,7.75,3.42,631,30,1,0
115,57,1,1,7.03,0.9975,583,30,1,0
994,90,1,0,8.65,2.385,527,30,1,0
74,80,1,1,5.8,1.832,650,30,1,0
535,90,0,1,7.35,1.7991,623,30,1,0
89,80,0,1,8.5,2.04,616,30,1,0
150,50.3,1,1,5.99,1.307,617,30,0,0
